strike,market_price,fem_price,abs_error,sq_error,moneyness,date,maturity,tau,S0,S_max,set,sigma_calibrated,r,group_strike
32.0,9.41,9.439688423089924,0.029688423089924143,0.000881402465566341,0.7753816331475648,2026-04-13,SEP 2026,0.4328767123287671,41.27,150.0,train,0.18110765999943607,0.02,32.0
32.0,9.31,9.383660338290396,0.07366033829039509,0.005425845437055445,0.7761338830948339,2026-04-25,SEP 2026,0.4,41.23,150.0,train,0.18110765999943607,0.02,32.0
32.0,9.32,9.907897161410826,0.5878971614108259,0.3456230723949067,0.7668344116942248,2026-04-02,SEP 2026,0.4630136986301369,41.73,150.0,test,0.18110765999943607,0.02,32.0
32.0,10.09,9.69731567615046,0.3926843238495401,0.1542009781971705,0.7761338830948339,2026-04-25,MAR 2027,0.8986301369863013,41.23,165.0,test,0.18110765999943607,0.02,32.0
34.0,7.57,7.759056444062274,0.18905644406227395,0.03574233904147172,0.8252427184466019,2026-04-01,DEC 2026,0.7150684931506849,41.2,150.0,train,0.18358408903588447,0.02,34.0
34.0,8.03,8.022154408730113,0.007845591269886043,6.155330237411209e-05,0.8252427184466019,2026-04-01,MAR 2027,0.9643835616438357,41.2,165.0,train,0.18358408903588447,0.02,34.0
34.0,7.03,7.507047562470465,0.47704756247046465,0.22757437685901188,0.8252427184466019,2026-04-01,SEP 2026,0.4657534246575342,41.2,150.0,train,0.18358408903588447,0.02,34.0
34.0,8.49,8.491924315948161,0.0019243159481607819,3.702991868345929e-06,0.8147615624251139,2026-04-02,MAR 2027,0.9616438356164384,41.73,165.0,train,0.18358408903588447,0.02,34.0
34.0,7.52,8.009426611075494,0.4894266110754941,0.239538407628843,0.8147615624251139,2026-04-02,SEP 2026,0.4630136986301369,41.73,150.0,train,0.18358408903588447,0.02,34.0
34.0,7.56,7.542868005823518,0.01713199417648159,0.00029350522446299913,0.8238429852192876,2026-04-13,SEP 2026,0.4328767123287671,41.27,150.0,train,0.18358408903588447,0.02,34.0
34.0,7.97,7.718254200681592,0.25174579931840757,0.06337594747446394,0.824642250788261,2026-04-25,DEC 2026,0.6493150684931507,41.23,150.0,train,0.18358408903588447,0.02,34.0
34.0,8.41,7.9793845684496745,0.43061543155032567,0.1854296498892732,0.824642250788261,2026-04-25,MAR 2027,0.8986301369863013,41.23,165.0,train,0.18358408903588447,0.02,34.0
34.0,7.47,7.474854331782364,0.004854331782364163,2.3564537053270833e-05,0.824642250788261,2026-04-25,SEP 2026,0.4,41.23,150.0,train,0.18358408903588447,0.02,34.0
34.0,8.02,8.24288370638899,0.22288370638899124,0.049677146573694056,0.8147615624251139,2026-04-02,DEC 2026,0.7123287671232876,41.73,150.0,test,0.18358408903588447,0.02,34.0
34.0,8.06,7.78891858651559,0.27108141348441084,0.07348513273670612,0.8238429852192876,2026-04-13,DEC 2026,0.6821917808219178,41.27,150.0,test,0.18358408903588447,0.02,34.0
