strike,market_price,fem_price,abs_error,sq_error,moneyness,date,maturity,tau,S0,S_max,group_strike,sigma_calibrated
40.0,2.23,1.9295447215988129,0.30045527840118713,0.09027337431913486,0.9701673538685424,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,40.0,0.18431552499434187
40.0,1.91,1.5020087697741897,0.4079912302258102,0.16645684394117005,0.9701673538685424,2026-04-25,MAY 2026,0.0547945205479452,41.23,138.0,40.0,0.18431552499434187
40.0,2.81,2.6904352352907366,0.11956476470926347,0.014295732959981535,0.9701673538685424,2026-04-25,SEP 2026,0.4,41.23,150.0,40.0,0.18431552499434187
41.0,1.49,1.6626743933216626,0.17267439332166257,0.029816446109004226,0.9951456310679611,2026-04-01,JUN 2026,0.21643835616438356,41.2,138.0,41.0,0.194255399864187
41.0,1.16,1.253595416436455,0.09359541643645497,0.008760101977913425,0.9951456310679611,2026-04-01,MAY 2026,0.12054794520547946,41.2,138.0,41.0,0.194255399864187
41.0,1.79,1.9617686644307433,0.17176866443074323,0.029504474080321277,0.9825065899832256,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,41.0,0.194255399864187
41.0,1.45,1.5538455567526306,0.10384555675263063,0.01078389965726383,0.9825065899832256,2026-04-02,MAY 2026,0.1178082191780822,41.73,141.0,41.0,0.194255399864187
41.0,1.38,1.1188042053531686,0.2611957946468313,0.06822324314118966,0.9934577174703173,2026-04-13,MAY 2026,0.08767123287671233,41.27,138.0,41.0,0.194255399864187
41.0,1.61,1.4112457647530832,0.19875423524691693,0.0395032460285868,0.994421537715256,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,41.0,0.194255399864187
41.0,1.27,0.8878003900705814,0.3821996099294186,0.14607654183019972,0.994421537715256,2026-04-25,MAY 2026,0.0547945205479452,41.23,138.0,41.0,0.194255399864187
42.0,1.06,1.1352279625344397,0.07522796253443964,0.005659246347083054,1.0194174757281553,2026-04-01,JUN 2026,0.21643835616438356,41.2,138.0,42.0,0.18739849067361297
42.0,0.75,0.7545564020963441,0.004556402096344114,2.076080006356904e-05,1.0194174757281553,2026-04-01,MAY 2026,0.12054794520547946,41.2,138.0,42.0,0.18739849067361297
42.0,1.71,1.8657040370845652,0.15570403708456526,0.024243747164431673,1.0194174757281553,2026-04-01,SEP 2026,0.4657534246575342,41.2,150.0,42.0,0.18739849067361297
42.0,1.3,1.3760076765414593,0.07600767654145923,0.005777166893231093,1.00647016534867,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,42.0,0.18739849067361297
42.0,0.97,0.9774955661198836,0.007495566119883668,5.61835114575479e-05,1.00647016534867,2026-04-02,MAY 2026,0.1178082191780822,41.73,141.0,42.0,0.18739849067361297
42.0,1.96,2.1269916275807463,0.16699162758074637,0.027886203682066693,1.00647016534867,2026-04-02,SEP 2026,0.46301369863013697,41.73,150.0,42.0,0.18739849067361297
42.0,0.88,0.6222646382503575,0.2577353617496425,0.06642751669621909,1.0176883935061787,2026-04-13,MAY 2026,0.08767123287671233,41.27,138.0,42.0,0.18739849067361297
42.0,1.9,1.8156342057485324,0.08436579425146751,0.007117587239680948,1.0176883935061787,2026-04-13,SEP 2026,0.4328767123287671,41.27,150.0,42.0,0.18739849067361297
42.0,1.11,0.8977670678033983,0.21223293219660178,0.04504281750876737,1.0186757215619695,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,42.0,0.18739849067361297
42.0,0.79,0.4183429693166834,0.3716570306833166,0.13812894845633975,1.0186757215619695,2026-04-25,MAY 2026,0.0547945205479452,41.23,138.0,42.0,0.18739849067361297
42.0,1.77,1.709148249427236,0.06085175057276393,0.003702935547769875,1.0186757215619695,2026-04-25,SEP 2026,0.4,41.23,150.0,42.0,0.18739849067361297
43.0,0.73,0.8476175947486561,0.11761759474865607,0.013833898594459089,1.0436893203883495,2026-04-01,JUN 2026,0.21643835616438356,41.2,138.0,43.0,0.19585684582680135
43.0,0.47,0.4847764152372496,0.014776415237249652,0.00021834244726362368,1.0436893203883495,2026-04-01,MAY 2026,0.12054794520547946,41.2,138.0,43.0,0.19585684582680135
