strike,market_price,fem_price,abs_error,sq_error,moneyness,date,maturity,tau,S0,S_max,set,sigma_calibrated,r
42.0,0.12,0.0037186415149355746,0.11628135848506442,0.013521354331132064,1.0176883935061787,2026-04-13,APR 2026,0.010958904109589,41.27,132.0,test,0.08685545280413128,0.02
44.0,0.0,1.0932229129299334e-14,1.0932229129299334e-14,1.1951363373550087e-28,1.0661497455779017,2026-04-13,APR 2026,0.010958904109589,41.27,132.0,test,0.08685545280413128,0.02
40.0,3.35,3.4758883163610146,0.1258883163610145,0.01584786819621087,0.9708737864077669,2026-04-01,DEC 2026,0.7150684931506849,41.2,150.0,train,0.1894367744713818,0.02
46.0,1.12,1.131966121403905,0.01196612140390485,0.0001431880614529898,1.116504854368932,2026-04-01,DEC 2026,0.7150684931506849,41.2,150.0,train,0.1894367744713818,0.02
38.0,4.56,4.718775241414892,0.15877524141489197,0.025209577286357226,0.9223300970873786,2026-04-01,DEC 2026,0.7150684931506849,41.2,150.0,train,0.1894367744713818,0.02
44.0,1.65,1.7006240496496832,0.050624049649683256,0.0025627944029335955,1.0679611650485437,2026-04-01,DEC 2026,0.7150684931506849,41.2,150.0,train,0.1894367744713818,0.02
48.0,0.74,0.7306188431783894,0.009381156821610559,8.800610331165033e-05,1.1650485436893203,2026-04-01,DEC 2026,0.7150684931506849,41.2,150.0,train,0.1894367744713818,0.02
34.0,7.57,7.849552066683693,0.27955206668369303,0.07814935798712395,0.8252427184466019,2026-04-01,DEC 2026,0.7150684931506849,41.2,150.0,train,0.1894367744713818,0.02
42.0,2.38,2.472976887220942,0.09297688722094222,0.008644701557295808,1.0194174757281553,2026-04-01,DEC 2026,0.7150684931506849,41.2,150.0,train,0.1894367744713818,0.02
35.0,6.76,6.99792874189262,0.23792874189262037,0.05661008621860516,0.8495145631067961,2026-04-01,DEC 2026,0.7150684931506849,41.2,150.0,train,0.1894367744713818,0.02
36.0,5.97,6.188402260679742,0.218402260679742,0.04769954747002198,0.8737864077669902,2026-04-01,DEC 2026,0.7150684931506849,41.2,150.0,train,0.1894367744713818,0.02
35.0,7.22,7.462975171084699,0.24297517108469968,0.05903693376363908,0.8387251377905585,2026-04-02,DEC 2026,0.7123287671232876,41.73,150.0,train,0.1894367744713818,0.02
46.0,1.27,1.2904304584730877,0.020430458473087665,0.00041740363342055955,1.1023244668104482,2026-04-02,DEC 2026,0.7123287671232876,41.73,150.0,train,0.1894367744713818,0.02
44.0,1.86,1.9132287349735573,0.05322873497355718,0.002833298226885189,1.0543973160795592,2026-04-02,DEC 2026,0.7123287671232876,41.73,150.0,train,0.1894367744713818,0.02
36.0,6.42,6.633165978441,0.21316597844100027,0.045439734364708995,0.8626887131560029,2026-04-02,DEC 2026,0.7123287671232876,41.73,150.0,train,0.1894367744713818,0.02
40.0,3.69,3.811811905934145,0.12181190593414515,0.014838140427309026,0.958543014617781,2026-04-02,DEC 2026,0.7123287671232876,41.73,150.0,train,0.1894367744713818,0.02
42.0,2.66,2.74623346055245,0.08623346055244996,0.007436209718850943,1.00647016534867,2026-04-02,DEC 2026,0.7123287671232876,41.73,150.0,train,0.1894367744713818,0.02
34.0,8.02,8.331495669350877,0.3114956693508777,0.09702955202435132,0.8147615624251139,2026-04-02,DEC 2026,0.7123287671232876,41.73,150.0,train,0.1894367744713818,0.02
