date,ticker,option_type,maturity,strike,settlement,tau,S0,S_max,moneyness,options_csv,underlying_csv
2026-04-01,AD,CALL,DEC 2026,45.0,1.37,0.7150684931506849,41.2,150.0,1.0922330097087378,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,DEC 2026,46.0,1.12,0.7150684931506849,41.2,150.0,1.116504854368932,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,DEC 2026,48.0,0.74,0.7150684931506849,41.2,150.0,1.1650485436893203,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,DEC 2026,50.0,0.49,0.7150684931506849,41.2,150.0,1.2135922330097086,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,JUN 2026,36.0,5.08,0.21643835616438356,41.2,138.0,0.8737864077669902,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,JUN 2026,37.0,4.23,0.21643835616438356,41.2,138.0,0.8980582524271844,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,JUN 2026,38.0,3.41,0.21643835616438356,41.2,138.0,0.9223300970873786,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,JUN 2026,39.0,2.68,0.21643835616438356,41.2,138.0,0.9466019417475727,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,JUN 2026,40.0,2.03,0.21643835616438356,41.2,138.0,0.9708737864077669,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,JUN 2026,41.0,1.49,0.21643835616438356,41.2,138.0,0.9951456310679611,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,JUN 2026,42.0,1.06,0.21643835616438356,41.2,138.0,1.0194174757281553,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,JUN 2026,43.0,0.73,0.21643835616438356,41.2,138.0,1.0436893203883495,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,JUN 2026,44.0,0.49,0.21643835616438356,41.2,138.0,1.0679611650485437,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,JUN 2026,45.0,0.32,0.21643835616438356,41.2,138.0,1.0922330097087378,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,JUN 2026,46.0,0.22,0.21643835616438356,41.2,138.0,1.116504854368932,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
