strike,market_price,fem_price,abs_error,sq_error,moneyness,set,date,maturity,expiry,tau,S0,S_max,sigma_calibrated,r,options_csv
46.0,0.73,0.535659800431215,0.194340199568785,0.03776811316843519,1.1023244668104482,train,2026-04-02,SEP 2026,2026-09-18,0.46301369863013697,41.73,150.0,0.1637137961701935,0.02,../data/daily_clean/2026-04-02_options.csv
40.0,2.98,2.8711563146027355,0.10884368539726452,0.011846947850858694,0.958543014617781,train,2026-04-02,SEP 2026,2026-09-18,0.46301369863013697,41.73,150.0,0.1637137961701935,0.02,../data/daily_clean/2026-04-02_options.csv
38.0,4.28,4.2934522263682435,0.01345222636824328,0.00018096239426245982,0.910615863886892,test,2026-04-02,SEP 2026,2026-09-18,0.46301369863013697,41.73,150.0,0.1637137961701935,0.02,../data/daily_clean/2026-04-02_options.csv
44.0,1.22,1.0153156473540899,0.20468435264591012,0.04189568421807529,1.0543973160795592,test,2026-04-02,SEP 2026,2026-09-18,0.46301369863013697,41.73,150.0,0.1637137961701935,0.02,../data/daily_clean/2026-04-02_options.csv
45.0,0.95,0.7447520563116325,0.2052479436883674,0.04212671838830324,1.0783608914450036,test,2026-04-02,SEP 2026,2026-09-18,0.46301369863013697,41.73,150.0,0.1637137961701935,0.02,../data/daily_clean/2026-04-02_options.csv
41.0,1.38,1.4044444711746449,0.02444447117464499,0.0005975321710080497,0.9934577174703173,train,2026-04-13,MAY 2026,2026-05-15,0.08767123287671233,41.27,138.0,0.244295813632294,0.02,../data/daily_clean/2026-04-13_options.csv
36.0,5.43,5.432420954174094,0.0024209541740942697,5.861019113064467e-06,0.8723043372910103,train,2026-04-13,MAY 2026,2026-05-15,0.08767123287671233,41.27,138.0,0.244295813632294,0.02,../data/daily_clean/2026-04-13_options.csv
45.0,0.17,0.1943293986264702,0.024329398626470183,0.0005919196375256892,1.090380421613763,train,2026-04-13,MAY 2026,2026-05-15,0.08767123287671233,41.27,138.0,0.244295813632294,0.02,../data/daily_clean/2026-04-13_options.csv
46.0,0.09,0.10306538373632067,0.013065383736320671,0.0001707042521773127,1.1146110976496244,train,2026-04-13,MAY 2026,2026-05-15,0.08767123287671233,41.27,138.0,0.244295813632294,0.02,../data/daily_clean/2026-04-13_options.csv
38.0,3.62,3.572053977204485,0.0479460227955153,0.0022988211019080726,0.9207656893627332,train,2026-04-13,MAY 2026,2026-05-15,0.08767123287671233,41.27,138.0,0.244295813632294,0.02,../data/daily_clean/2026-04-13_options.csv
37.0,4.52,4.478632492251702,0.04136750774829778,0.001711270697305477,0.8965350133268718,train,2026-04-13,MAY 2026,2026-05-15,0.08767123287671233,41.27,138.0,0.244295813632294,0.02,../data/daily_clean/2026-04-13_options.csv
44.0,0.31,0.34653413017791873,0.03653413017791873,0.0013347426678571124,1.0661497455779017,train,2026-04-13,MAY 2026,2026-05-15,0.08767123287671233,41.27,138.0,0.244295813632294,0.02,../data/daily_clean/2026-04-13_options.csv
40.0,2.02,2.0103837407245995,0.009616259275400552,9.247244245172714e-05,0.9692270414344559,train,2026-04-13,MAY 2026,2026-05-15,0.08767123287671233,41.27,138.0,0.244295813632294,0.02,../data/daily_clean/2026-04-13_options.csv
39.0,2.78,2.7400078542796007,0.03999214572039911,0.0015993717193216368,0.9449963653985946,test,2026-04-13,MAY 2026,2026-05-15,0.08767123287671233,41.27,138.0,0.244295813632294,0.02,../data/daily_clean/2026-04-13_options.csv
